cajas,ref,frei,pos,pol,W_sim,W_profe,Var_W,IC_low,IC_high,W_analitico_ref,clientes_completados,viol_rho,score_align_40,score_wait_50,score_comp_10,score_total_100,criterio_optimo
2,1,1,2,6,200.6886,2.4478,12795.4882,200.1992,201.178,0.0,196.72,5,40.0,9.56,10.0,59.56,
2,1,6,2,1,188.9771,1.7483,11197.117,188.4761,189.4781,0.0,275.3,5,40.0,14.92,10.0,64.92,
2,2,1,1,6,198.377,2.3887,12713.5046,197.8951,198.859,0.0,201.64,5,40.0,10.62,10.0,60.62,
2,6,1,2,1,198.353,2.7816,13236.4668,197.8028,198.9031,1.0189,173.39,4,40.0,10.63,10.0,60.63,
6,2,1,1,2,150.924,1.8389,12039.4892,150.4603,151.3878,0.0,261.72,5,40.0,32.34,10.0,82.34,
1,2,2,6,1,216.1416,3.0791,14364.9504,215.4935,216.7897,1.2,156.87,4,40.0,2.49,10.0,52.49,
2,1,6,1,2,193.4079,1.6676,11448.3218,192.9431,193.8726,0.0,288.56,5,40.0,12.9,10.0,62.9,
1,2,1,6,2,220.6073,3.555,14996.3915,220.0119,221.2026,1.2,135.62,4,40.0,0.45,10.0,50.45,
1,6,1,2,2,221.1661,3.5506,14926.4535,220.5709,221.7612,1.0189,135.77,4,40.0,0.19,10.0,50.19,
2,2,6,1,1,186.3092,1.6929,11074.9895,185.7828,186.8355,0.0,284.43,5,40.0,16.15,10.0,66.15,
2,6,1,1,2,201.8657,2.6496,13365.6248,201.3644,202.367,1.0189,181.85,4,40.0,9.02,10.0,59.02,
6,1,2,2,1,173.5856,1.9395,13858.7286,173.1211,174.0501,0.0,248.16,5,40.0,21.97,10.0,71.97,
6,1,1,2,2,174.2041,2.3042,14780.1521,173.6931,174.7152,0.0,209.02,5,40.0,21.69,10.0,71.69,
1,1,2,2,6,214.4507,2.5763,13830.6374,213.8564,215.045,0.0,187.27,5,40.0,3.26,10.0,53.26,
5,2,1,3,1,146.6472,1.8031,10230.8563,146.1871,147.1072,3.0,267.08,5,40.0,34.3,10.0,84.3,
1,1,3,5,2,214.6318,2.7089,14136.517,213.9976,215.2661,1.3636,178.16,4,40.0,3.18,10.0,53.18,
3,1,5,2,1,179.5418,1.5961,10702.9867,179.0698,180.0138,0.0,301.56,5,40.0,19.24,10.0,69.24,
2,1,3,1,5,192.8605,1.4675,10761.6901,192.4378,193.2832,0.0,327.54,5,40.0,13.15,10.0,63.15,
5,1,2,3,1,179.8274,1.9719,12996.3935,179.3669,180.288,3.0,244.14,5,40.0,19.11,10.0,69.11,
5,3,1,1,2,133.0413,1.6345,10961.1145,132.5543,133.5283,2.0769,294.5,5,40.0,40.53,10.0,90.53,
1,2,5,1,3,213.9447,2.5874,13929.1662,213.2816,214.6078,0.0,186.56,5,40.0,3.5,10.0,53.5,
1,5,1,2,3,219.8992,3.4673,14884.5768,219.3306,220.4679,1.1345,139.04,4,40.0,0.77,10.0,50.77,
